userID,originID,destinationID,requestDate
9,141,169,2019-03-08 12:30:00
10,233,115,2019-03-08 10:00:00
10,58,36,2019-03-08 11:30:00
3,42,155,2019-03-08 14:30:00
13,86,231,2019-03-08 10:30:00
9,221,111,2019-03-08 13:00:00
7,86,100,2019-03-08 14:30:00
9,122,42,2019-03-08 11:00:00
3,99,229,2019-03-08 15:00:00
4,64,97,2019-03-08 14:30:00
4,86,161,2019-03-08 09:00:00
15,44,65,2019-03-08 16:30:00
9,179,175,2019-03-08 13:30:00
2,88,220,2019-03-08 15:30:00
9,80,201,2019-03-08 15:00:00
1,111,108,2019-03-08 10:30:00
13,76,58,2019-03-08 14:30:00
7,85,230,2019-03-08 11:30:00
13,138,184,2019-03-08 10:30:00
13,216,177,2019-03-08 09:30:00
10,213,226,2019-03-08 10:00:00
4,195,228,2019-03-08 11:30:00
14,164,74,2019-03-08 12:00:00
9,192,162,2019-03-08 10:30:00
1,157,43,2019-03-08 16:30:00
6,43,217,2019-03-08 10:30:00
4,138,131,2019-03-08 15:00:00
6,123,134,2019-03-08 15:30:00
5,225,74,2019-03-08 09:00:00
14,234,122,2019-03-08 12:00:00
16,101,57,2019-03-08 10:30:00
9,130,96,2019-03-08 15:00:00
11,96,140,2019-03-08 12:30:00
12,127,188,2019-03-08 09:30:00
7,67,216,2019-03-08 14:30:00
12,233,108,2019-03-08 14:30:00
12,145,116,2019-03-08 15:30:00
6,112,131,2019-03-08 10:00:00
3,121,52,2019-03-08 09:30:00
4,48,177,2019-03-08 15:00:00
4,51,161,2019-03-08 13:30:00
7,69,75,2019-03-08 12:00:00
6,135,217,2019-03-08 11:00:00
13,69,217,2019-03-08 09:00:00
13,139,229,2019-03-08 11:00:00
5,162,114,2019-03-08 11:00:00
11,180,189,2019-03-08 16:00:00
8,151,225,2019-03-08 16:30:00
5,225,86,2019-03-08 10:00:00
6,64,147,2019-03-08 15:00:00
11,148,164,2019-03-08 09:30:00
14,204,86,2019-03-08 14:30:00
7,218,63,2019-03-08 15:00:00
15,116,179,2019-03-08 16:30:00
3,80,202,2019-03-08 12:30:00
5,195,221,2019-03-08 16:30:00
12,174,206,2019-03-08 14:30:00
14,61,95,2019-03-08 14:30:00
5,149,123,2019-03-08 16:00:00
7,210,90,2019-03-08 15:30:00
8,66,200,2019-03-08 16:00:00
12,74,212,2019-03-08 10:00:00
8,42,125,2019-03-08 14:30:00
6,71,224,2019-03-08 16:30:00
13,190,47,2019-03-08 10:30:00
14,64,220,2019-03-08 14:30:00
16,46,60,2019-03-08 11:00:00
2,50,182,2019-03-08 14:30:00
16,79,234,2019-03-08 09:30:00
6,191,166,2019-03-08 10:30:00
2,111,172,2019-03-08 15:00:00
13,216,192,2019-03-08 11:30:00
3,117,60,2019-03-08 13:30:00
14,164,134,2019-03-08 13:00:00
7,131,90,2019-03-08 13:30:00
14,129,65,2019-03-08 15:30:00
15,230,195,2019-03-08 10:00:00
3,159,136,2019-03-08 10:30:00
1,162,170,2019-03-08 12:30:00
13,210,134,2019-03-08 12:00:00
16,96,138,2019-03-08 09:00:00
12,230,104,2019-03-08 09:30:00
12,217,48,2019-03-08 10:00:00
12,138,92,2019-03-08 16:30:00
8,121,213,2019-03-08 10:00:00
14,160,76,2019-03-08 13:30:00
12,207,226,2019-03-08 14:30:00
15,112,176,2019-03-08 14:30:00
5,177,179,2019-03-08 14:30:00
9,162,167,2019-03-08 15:30:00
16,122,116,2019-03-08 15:00:00
4,43,102,2019-03-08 09:00:00
15,142,174,2019-03-08 09:00:00
9,100,166,2019-03-08 14:30:00
1,194,106,2019-03-08 15:30:00
1,232,178,2019-03-08 11:30:00
1,174,44,2019-03-08 12:30:00
7,131,230,2019-03-08 09:00:00
6,84,49,2019-03-08 16:30:00
10,86,49,2019-03-08 12:00:00
7,83,169,2019-03-08 09:00:00
7,227,203,2019-03-08 15:00:00
7,127,199,2019-03-08 13:30:00
10,122,117,2019-03-08 09:00:00
6,72,36,2019-03-08 16:30:00
7,117,132,2019-03-08 10:00:00
8,35,72,2019-03-08 15:00:00
9,223,192,2019-03-08 14:30:00
7,137,124,2019-03-08 10:30:00
5,79,141,2019-03-08 13:30:00
4,221,54,2019-03-08 11:00:00
7,130,191,2019-03-08 12:00:00
9,50,162,2019-03-08 15:00:00
7,91,54,2019-03-08 09:30:00
1,159,233,2019-03-08 10:30:00
12,174,187,2019-03-08 12:00:00
14,164,85,2019-03-08 12:00:00
16,70,112,2019-03-08 15:30:00
11,164,42,2019-03-08 12:00:00
1,204,164,2019-03-08 14:30:00
1,91,103,2019-03-08 09:30:00
13,96,76,2019-03-08 14:30:00
16,127,42,2019-03-08 11:00:00
1,223,210,2019-03-08 15:30:00
16,121,199,2019-03-08 15:00:00
1,53,210,2019-03-08 15:00:00
15,107,114,2019-03-08 09:30:00
10,146,39,2019-03-08 13:00:00
16,128,183,2019-03-08 09:30:00
6,231,154,2019-03-08 09:30:00
6,104,136,2019-03-08 12:30:00
15,135,155,2019-03-08 15:30:00
10,155,151,2019-03-08 13:30:00
4,40,173,2019-03-08 10:00:00
6,59,143,2019-03-08 09:30:00
3,169,94,2019-03-08 11:30:00
5,116,79,2019-03-08 15:30:00
7,204,156,2019-03-08 14:30:00
3,46,78,2019-03-08 11:30:00
7,147,120,2019-03-08 09:30:00
8,151,79,2019-03-08 10:00:00
2,59,86,2019-03-08 15:00:00
13,226,182,2019-03-08 09:00:00
1,165,99,2019-03-08 09:30:00
5,196,137,2019-03-08 15:30:00
15,90,221,2019-03-08 10:00:00
11,59,192,2019-03-08 14:30:00
16,173,166,2019-03-08 16:30:00
4,176,205,2019-03-08 15:00:00
1,186,49,2019-03-08 10:00:00
14,83,84,2019-03-08 13:00:00
6,187,67,2019-03-08 09:00:00
9,155,220,2019-03-08 16:00:00
4,71,194,2019-03-08 14:30:00
1,189,227,2019-03-08 12:00:00
6,138,57,2019-03-08 12:00:00
10,122,45,2019-03-08 09:30:00
3,81,178,2019-03-08 16:00:00
8,83,205,2019-03-08 12:00:00
5,109,74,2019-03-08 10:30:00
7,94,49,2019-03-08 14:30:00
6,53,104,2019-03-08 09:00:00
13,232,154,2019-03-08 09:00:00
12,110,189,2019-03-08 15:30:00
14,66,41,2019-03-08 15:30:00
14,220,124,2019-03-08 14:30:00
1,165,227,2019-03-08 13:30:00
4,215,179,2019-03-08 14:30:00
9,160,166,2019-03-08 14:30:00
15,177,168,2019-03-08 12:30:00
13,95,73,2019-03-08 11:00:00
7,108,77,2019-03-08 10:00:00
6,171,63,2019-03-08 15:00:00
16,63,124,2019-03-08 10:30:00
6,118,180,2019-03-08 13:00:00
10,63,115,2019-03-08 15:30:00
4,189,85,2019-03-08 10:30:00
13,95,57,2019-03-08 12:30:00
3,70,204,2019-03-08 14:30:00
10,122,70,2019-03-08 14:30:00
