userID,originID,destinationID,requestDate
10,101,233,2019-03-09 09:00:00
7,104,195,2019-03-09 16:30:00
16,90,134,2019-03-09 11:00:00
4,170,108,2019-03-09 11:00:00
10,48,95,2019-03-09 12:00:00
2,105,116,2019-03-09 09:00:00
12,170,126,2019-03-09 16:00:00
11,137,180,2019-03-09 12:00:00
5,150,160,2019-03-09 11:00:00
1,73,133,2019-03-09 13:30:00
15,54,228,2019-03-09 16:00:00
5,163,155,2019-03-09 10:00:00
10,218,219,2019-03-09 15:30:00
1,177,140,2019-03-09 16:30:00
14,215,143,2019-03-09 10:00:00
5,41,144,2019-03-09 11:30:00
6,154,133,2019-03-09 11:30:00
13,114,232,2019-03-09 09:30:00
7,53,181,2019-03-09 15:30:00
4,164,200,2019-03-09 12:30:00
1,177,190,2019-03-09 11:00:00
11,51,86,2019-03-09 12:00:00
14,186,213,2019-03-09 14:30:00
3,68,114,2019-03-09 11:00:00
5,222,204,2019-03-09 11:00:00
12,94,182,2019-03-09 16:00:00
12,229,172,2019-03-09 13:00:00
7,226,94,2019-03-09 09:00:00
5,178,134,2019-03-09 15:30:00
8,211,134,2019-03-09 14:30:00
11,207,203,2019-03-09 16:00:00
7,135,104,2019-03-09 13:30:00
12,109,105,2019-03-09 13:30:00
5,179,189,2019-03-09 14:30:00
14,145,166,2019-03-09 16:30:00
9,217,201,2019-03-09 10:00:00
1,55,132,2019-03-09 15:30:00
13,181,97,2019-03-09 15:00:00
11,99,110,2019-03-09 12:30:00
13,35,61,2019-03-09 11:30:00
16,59,215,2019-03-09 16:00:00
1,147,48,2019-03-09 10:00:00
15,190,103,2019-03-09 16:30:00
6,229,189,2019-03-09 16:00:00
15,127,183,2019-03-09 16:30:00
14,189,137,2019-03-09 13:30:00
4,233,161,2019-03-09 11:30:00
15,39,141,2019-03-09 13:00:00
1,100,107,2019-03-09 13:30:00
3,219,67,2019-03-09 11:30:00
4,71,138,2019-03-09 10:00:00
3,154,158,2019-03-09 09:30:00
1,131,73,2019-03-09 09:30:00
2,102,68,2019-03-09 16:30:00
13,222,89,2019-03-09 14:30:00
7,38,53,2019-03-09 12:00:00
16,93,56,2019-03-09 15:00:00
5,151,226,2019-03-09 14:30:00
6,88,140,2019-03-09 15:00:00
3,123,216,2019-03-09 10:00:00
12,57,143,2019-03-09 10:00:00
8,197,45,2019-03-09 16:30:00
11,140,218,2019-03-09 09:00:00
16,59,175,2019-03-09 13:00:00
5,40,67,2019-03-09 16:00:00
5,82,106,2019-03-09 11:30:00
16,165,233,2019-03-09 11:00:00
6,181,96,2019-03-09 14:30:00
8,132,68,2019-03-09 11:00:00
5,190,120,2019-03-09 10:00:00
12,65,151,2019-03-09 09:30:00
12,75,105,2019-03-09 14:30:00
15,172,64,2019-03-09 15:30:00
7,154,213,2019-03-09 11:00:00
16,106,180,2019-03-09 11:30:00
5,156,193,2019-03-09 12:30:00
10,208,141,2019-03-09 09:30:00
3,205,177,2019-03-09 14:30:00
3,209,141,2019-03-09 16:30:00
4,122,134,2019-03-09 11:00:00
6,162,114,2019-03-09 09:30:00
3,41,185,2019-03-09 15:30:00
16,108,138,2019-03-09 14:30:00
7,172,71,2019-03-09 15:30:00
4,226,158,2019-03-09 09:30:00
10,158,116,2019-03-09 11:30:00
15,110,192,2019-03-09 15:00:00
12,83,194,2019-03-09 11:00:00
5,184,54,2019-03-09 10:00:00
11,188,225,2019-03-09 12:30:00
