userID,originID,destinationID,requestDate
8,61,231,2019-03-07 16:00:00
14,135,163,2019-03-07 10:30:00
15,120,108,2019-03-07 12:00:00
11,152,63,2019-03-07 13:30:00
14,89,117,2019-03-07 12:30:00
8,172,53,2019-03-07 15:00:00
6,227,164,2019-03-07 15:00:00
3,125,107,2019-03-07 14:30:00
2,64,212,2019-03-07 16:00:00
10,96,170,2019-03-07 09:30:00
16,221,189,2019-03-07 12:00:00
11,124,55,2019-03-07 13:00:00
4,132,110,2019-03-07 14:30:00
7,224,174,2019-03-07 09:30:00
16,180,147,2019-03-07 09:30:00
3,49,223,2019-03-07 15:00:00
4,187,150,2019-03-07 14:30:00
14,161,188,2019-03-07 16:30:00
16,36,222,2019-03-07 11:30:00
9,64,94,2019-03-07 11:30:00
6,217,229,2019-03-07 16:30:00
5,63,60,2019-03-07 15:30:00
13,73,171,2019-03-07 15:30:00
4,200,221,2019-03-07 16:30:00
10,50,38,2019-03-07 16:30:00
4,183,203,2019-03-07 11:00:00
1,144,212,2019-03-07 16:00:00
2,59,176,2019-03-07 13:00:00
9,147,77,2019-03-07 10:30:00
13,53,169,2019-03-07 16:00:00
6,205,43,2019-03-07 14:30:00
10,102,176,2019-03-07 16:30:00
4,73,122,2019-03-07 13:00:00
2,53,83,2019-03-07 16:00:00
4,157,98,2019-03-07 12:30:00
6,111,144,2019-03-07 15:00:00
9,88,58,2019-03-07 10:30:00
8,69,67,2019-03-07 11:30:00
16,68,117,2019-03-07 12:00:00
13,161,171,2019-03-07 16:00:00
4,60,206,2019-03-07 11:30:00
16,160,154,2019-03-07 12:30:00
8,71,165,2019-03-07 14:30:00
6,80,139,2019-03-07 12:30:00
3,227,169,2019-03-07 10:00:00
14,83,228,2019-03-07 13:00:00
5,114,181,2019-03-07 13:00:00
15,210,211,2019-03-07 14:30:00
9,71,197,2019-03-07 16:30:00
6,219,203,2019-03-07 13:30:00
2,153,207,2019-03-07 13:00:00
14,123,134,2019-03-07 16:00:00
12,143,61,2019-03-07 13:30:00
11,52,105,2019-03-07 12:00:00
5,218,71,2019-03-07 15:00:00
5,208,61,2019-03-07 12:30:00
4,167,203,2019-03-07 09:30:00
4,75,122,2019-03-07 15:00:00
11,129,191,2019-03-07 14:30:00
2,52,155,2019-03-07 13:00:00
14,154,122,2019-03-07 14:30:00
8,44,86,2019-03-07 14:30:00
5,130,176,2019-03-07 14:30:00
15,212,179,2019-03-07 12:30:00
16,190,173,2019-03-07 13:00:00
7,99,162,2019-03-07 11:00:00
4,170,222,2019-03-07 14:30:00
9,198,151,2019-03-07 16:30:00
2,103,109,2019-03-07 13:00:00
11,62,191,2019-03-07 10:00:00
5,77,68,2019-03-07 14:30:00
11,85,162,2019-03-07 16:00:00
14,201,54,2019-03-07 11:30:00
14,152,161,2019-03-07 16:00:00
15,96,42,2019-03-07 10:30:00
12,46,86,2019-03-07 12:00:00
9,202,138,2019-03-07 15:30:00
13,150,176,2019-03-07 13:30:00
7,207,37,2019-03-07 09:00:00
12,213,214,2019-03-07 11:30:00
